auditStartTime,adminActionType,issueType,severity,description,location,indicatorCode,countryCode,detectedAt,additionalData
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/AUS,indicators/BN.CAB.XOKA.GD.ZS/series/AUS; countries/AUS/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,AUS,2025-09-14T15:45:22.731050,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/AUS, countries/AUS/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/AUT,indicators/BN.CAB.XOKA.GD.ZS/series/AUT; countries/AUT/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,AUT,2025-09-14T15:45:22.731292,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/AUT, countries/AUT/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/BEL,indicators/BN.CAB.XOKA.GD.ZS/series/BEL; countries/BEL/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,BEL,2025-09-14T15:45:22.731326,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/BEL, countries/BEL/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/CAN,indicators/BN.CAB.XOKA.GD.ZS/series/CAN; countries/CAN/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,CAN,2025-09-14T15:45:22.731356,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/CAN, countries/CAN/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/CHE,indicators/BN.CAB.XOKA.GD.ZS/series/CHE; countries/CHE/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,CHE,2025-09-14T15:45:22.731391,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/CHE, countries/CHE/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/CHL,indicators/BN.CAB.XOKA.GD.ZS/series/CHL; countries/CHL/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,CHL,2025-09-14T15:45:22.731415,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/CHL, countries/CHL/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/COL,indicators/BN.CAB.XOKA.GD.ZS/series/COL; countries/COL/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,COL,2025-09-14T15:45:22.731438,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/COL, countries/COL/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/CRI,indicators/BN.CAB.XOKA.GD.ZS/series/CRI; countries/CRI/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,CRI,2025-09-14T15:45:22.731463,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/CRI, countries/CRI/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/CZE,indicators/BN.CAB.XOKA.GD.ZS/series/CZE; countries/CZE/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,CZE,2025-09-14T15:45:22.731491,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/CZE, countries/CZE/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/DEU,indicators/BN.CAB.XOKA.GD.ZS/series/DEU; countries/DEU/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,DEU,2025-09-14T15:45:22.731516,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/DEU, countries/DEU/indicators/BN.CAB.XOKA.GD.ZS]}"
